발생시간,발생지역,검토상태,쓰나미여부,영향도,데이터유형,규모,지역,경도,위도,진원깊이,발생일시,cluster,c,cluster_4
1651639883340,"43 km NNW of San Antonio, Puerto Rico",reviewed,0,224,earthquake,3.81, Puerto Rico,-67.3013,18.8368,20.0,2022-05-04 04:51:23.340000+00:00,1,blue,1
1646182832700,"153 km N of Charlotte Amalie, U.S. Virgin Islands",reviewed,0,191,earthquake,3.52, U.S. Virgin Islands,-64.9526,19.7256,65.0,2022-03-02 01:00:32.700000+00:00,2,green,2
1612223513559,"179 km S of Beira, Mozambique",reviewed,0,312,earthquake,4.5, Mozambique,34.9127,-21.4668,10.0,2021-02-01 23:51:53.559000+00:00,0,pink,3
1674871707240,"1 km SW of Palomas, Puerto Rico",reviewed,0,159,earthquake,3.21, Puerto Rico,-66.8843,18.0005,11.0,2023-01-28 02:08:27.240000+00:00,1,blue,1
1636378721216,northern Mid-Atlantic Ridge,reviewed,0,326,earthquake,4.6,northern Mid-Atlantic Ridge,-28.4144,49.4462,10.0,2021-11-08 13:38:41.216000+00:00,0,pink,3
1654069799945,"58 km N of K?sh, Iran",reviewed,0,326,earthquake,4.6, Iran,53.9118,27.0796,10.0,2022-06-01 07:49:59.945000+00:00,0,pink,3
1616979952128,"11 km N of Valdez, Alaska",reviewed,0,230,earthquake,3.8, Alaska,-146.3733,61.2328,5.5,2021-03-29 01:05:52.128000+00:00,1,blue,1
1651879172654,Alaska Peninsula,reviewed,0,158,earthquake,3.2,Alaska Peninsula,-156.5242,56.3167,46.1,2022-05-06 23:19:32.654000+00:00,1,blue,1
1664424252883,Reykjanes Ridge,reviewed,0,284,earthquake,4.3,Reykjanes Ridge,-35.349,53.565,10.0,2022-09-29 04:04:12.883000+00:00,0,pink,3
1614951798300,Kermadec Islands region,reviewed,0,312,earthquake,4.5,Kermadec Islands region,-176.505,-29.2542,10.0,2021-03-05 13:43:18.300000+00:00,0,pink,3
1626580345310,"6 km WSW of La Parguera, Puerto Rico",reviewed,0,409,earthquake,4.46, Puerto Rico,-67.0966,17.9443,11.0,2021-07-18 03:52:25.310000+00:00,0,pink,3
1668327407953,Kuril Islands,reviewed,0,400,earthquake,5.1,Kuril Islands,148.2124,44.002,35.0,2022-11-13 08:16:47.953000+00:00,2,red,0
1686591503743,"118 km WNW of Labasa, Fiji",reviewed,0,354,earthquake,4.8, Fiji,178.2885,-16.162,10.0,2023-06-12 17:38:23.743000+00:00,0,pink,3
1657833109713,"280 km SW of Sinabang, Indonesia",reviewed,0,246,earthquake,4.0, Indonesia,94.659,0.6269,10.0,2022-07-14 21:11:49.713000+00:00,1,pink,3
1672649374900,"234 km W of Bandon, Oregon",reviewed,0,234,earthquake,3.9, Oregon,-127.2682,43.3989,10.0,2023-01-02 08:49:34.900000+00:00,1,blue,1
1657182370615,"Mindanao, Philippines",reviewed,0,298,earthquake,4.4, Philippines,122.7659,7.5793,10.0,2022-07-07 08:26:10.615000+00:00,0,pink,3
1623472823030,"13km WSW of Niland, CA",reviewed,0,221,earthquake,3.79,California,-115.652,33.2033333,2.41,2021-06-12 04:40:23.030000+00:00,1,blue,1
1627544871213,Alaska Peninsula,reviewed,0,158,earthquake,3.2,Alaska Peninsula,-157.5584,55.0246,4.8,2021-07-29 07:47:51.213000+00:00,1,blue,1
1675700564967,"0 km ESE of Göksun, Turkey",reviewed,0,259,earthquake,4.1, Turkey,36.5048,38.0189,3.826,2023-02-06 16:22:44.967000+00:00,0,pink,3
1674807749900,"246 km W of Ferndale, California",reviewed,0,169,earthquake,3.3, California,-127.1541,40.3655,10.0,2023-01-27 08:22:29.900000+00:00,1,blue,1
1670388740050,"6 km SW of Guánica, Puerto Rico",reviewed,0,179,earthquake,3.41, Puerto Rico,-66.9565,17.9376666666667,10.01,2022-12-07 04:52:20.050000+00:00,1,blue,1
1615053717270,"229 km NE of Gisborne, New Zealand",reviewed,0,312,earthquake,4.5, New Zealand,-179.8372,-37.4837,10.0,2021-03-06 18:01:57.270000+00:00,0,pink,3
1676036230785,"Volcano Islands, Japan region",reviewed,0,326,earthquake,4.6, Japan region,143.4746,24.8629,11.93,2023-02-10 13:37:10.785000+00:00,0,pink,3
1687109639805,"33 km NE of Santa Monica, Philippines",reviewed,0,432,earthquake,5.3, Philippines,126.2524,10.2333,37.443,2023-06-18 17:33:59.805000+00:00,2,red,0
1629458174344,South Sandwich Islands region,reviewed,0,354,earthquake,4.8,South Sandwich Islands region,-24.7601,-58.8796,10.0,2021-08-20 11:16:14.344000+00:00,0,pink,3
1677669389610,central East Pacific Rise,reviewed,0,340,earthquake,4.7,central East Pacific Rise,-111.2689,-13.6619,10.0,2023-03-01 11:16:29.610000+00:00,0,pink,3
